Year,Cohort,Female,Male,Total,Year
1933,1933    1,39729.74    50,948.99,90678.73,1933
1933,1932 1,12886.03    17,489.12,30375.15,1933
1933 1,1932,4991.33     5,783.44,10774.77,1933
1933 1,1931,3925.80     4,545.72,8471.52,1933
1933 2,1931,2247.76     2,660.01,4907.77,1933
1933 2,1930,2089.16     2,480.04,4569.2,1933
1933 3,1930,1638.60     1,945.76,3584.36,1933
1933 3,1929,1522.99     1,814.12,3337.11,1933
1933 4,1929,1292.52     1,517.63,2810.15,1933
1933 4,1928,1201.32     1,414.96,2616.28,1933
1933 5,1928,1085.10     1,299.23,2384.33,1933
1933 5,1927,1054.77     1,238.3,2293.07,1933
1933 6,1927,983.59     1,196.95,2180.54,1933
1933 6,1926,956.11     1,140.81,2096.92,1933
1933 7,1926,892.71     1,107.93,2000.64,1933
1933 7,1925,867.76     1,55.97,1923.73,1933
1933 8,1925,812.45     1,32.19,1844.64,1933
1933 8,1924,789.75,983.78,1773.53,1933
1933 9,1924,742.82,969.72,1712.54,1933
1933 9,1923,722.06,924.24,1646.3,1933
1933 10,1923,667.12,903.31,1570.43,1933
1933 10,1922,690.79,902.21,1593,1933
1933 11,1922,647.96,891.17,1539.13,1933
1933 11,1921,670.94,890.07,1561.01,1933
1933 12,1921,666.8,914.94,1581.74,1933
1933 12,1920,690.46,913.82,1604.28,1933
1933   13,1920,723.66,974.65,1698.31,1933
1933   13,1919,749.33,973.45,1722.78,1933
1933   14,1919,818.52     1,70.28,1888.8,1933
1933   14,1918,847.57     1,68.97,1916.54,1933
1933   15,1918,945.71     1,173.89,2119.6,1933
1933   15,1917,977.30     1,214.94,2192.24,1933
1933   16,1917,1076.81     1,298.97,2375.78,1933
1933   16,1916,1112.78     1,344.4,2457.18,1933
1933   17,1916,1205.99     1,419.93,2625.92,1933
1933   17,1915,1246.28     1,469.59,2715.87,1933
1933   18,1915,1333.26     1,536.75,2870.01,1933
1933   18,1914,1377.80     1,590.5,2968.3,1933
1933   19,1914,1458.62     1,649.44,3108.06,1933
1933   19,1913,1507.35     1,707.13,3214.48,1933
1933   20,1913,1602.25     1,829.53,3431.78,1933
1933   20,1912,1607.48     1,740.94,3348.42,1933
1933   21,1912,1703.89     1,916.81,3620.7,1933
1933   21,1911,1709.46     1,823.99,3533.45,1933
1933   22,1911,1781.88     1,978.17,3760.05,1933
1933   22,1910,1787.70     1,882.38,3670.08,1933
1933   23,1910,1836.22     2,13.61,3849.83,1933
1933   23,1909,1842.22     1,916.1,3758.32,1933
1933   24,1909,1866.90     2,23.13,3890.03,1933
1933   24,1908,1873.00     1,925.16,3798.16,1933
1933   25,1908,1883.08     2,30.82,3913.9,1933
1933   25,1907,1877.93     1,897.22,3775.15,1933
1933   26,1907,1887.57     2,24.58,3912.15,1933
1933   26,1906,1882.40     1,891.39,3773.79,1933
1933   27,1906,1889.49     2,28.65,3918.14,1933
1933   27,1905,1884.32     1,895.19,3779.51,1933
1933   28,1905,1888.84     2,43.02,3931.86,1933
1933   28,1904,1883.67     1,908.62,3792.29,1933
1933   29,1904,1885.63     2,67.71,3953.34,1933
1933   29,1903,1880.47     1,931.68,3812.15,1933
1933   30,1903,1885.33     2,83.99,3969.32,1933
1933   30,1902,1876.42     1,986.25,3862.67,1933
1933   31,1902,1898.56     2,138.59,4037.15,1933
1933   31,1901,1889.59     2,38.29,3927.88,1933
1933   32,1901,1930.81     2,213.13,4143.94,1933
1933   32,1900,1921.68     2,109.34,4031.02,1933
1933   33,1900,1982.06     2,307.62,4289.68,1933
1933   33,1899,1972.69     2,199.4,4172.09,1933
1933   34,1899,2052.33     2,422.05,4474.38,1933
1933   34,1898,2042.62     2,308.46,4351.08,1933
1933   35,1898,2123.47     2,505.08,4628.55,1933
1933   35,1897,2139.80     2,481.08,4620.88,1933
1933   36,1897,2201.79     2,636,4837.79,1933
1933   36,1896,2218.72     2,610.75,4829.47,1933
1933   37,1896,2269.70     2,765.98,5035.68,1933
1933   37,1895,2287.15     2,739.49,5026.64,1933
1933   38,1895,2327.20     2,895.04,5222.24,1933
1933   38,1894,2345.09     2,867.31,5212.4,1933
1933   39,1894,2374.29     3,23.16,5397.45,1933
1933   39,1893,2392.54     2,994.2,5386.74,1933
1933   40,1893,2415.58     3,119.35,5534.93,1933
1933   40,1892,2432.21     3,154.41,5586.62,1933
1933   41,1892,2463.72     3,253.98,5717.7,1933
1933   41,1891,2480.68     3,290.55,5771.23,1933
1933   42,1891,2523.32     3,397.36,5920.68,1933
1933   42,1890,2540.69     3,435.54,5976.23,1933
1933   43,1890,2594.36     3,549.51,6143.87,1933
1933   43,1889,2612.22     3,589.4,6201.62,1933
1933   44,1889,2676.85     3,710.41,6387.26,1933
1933   44,1888,2695.27     3,752.11,6447.38,1933
1933   45,1888,2769.35     3,854.5,6623.85,1933
1933   45,1887,2789.53     3,946.45,6735.98,1933
1933   46,1887,2869.43     4,23.53,6892.96,1933
1933   46,1886,2890.34     4,119.52,7009.86,1933
1933   47,1886,2975.67     4,192.99,7168.66,1933
1933   47,1885,2997.36     4,293.02,7290.38,1933
1933   48,1885,3088.08     4,362.88,7450.96,1933
1933   48,1884,3110.58     4,466.96,7577.54,1933
1933   49,1884,3206.65     4,533.2,7739.85,1933
1933   49,1883,3230.02     4,641.35,7871.37,1933
1933   50,1883,3318.90     4,703.05,8021.95,1933
1933   50,1882,3360.52     4,809.47,8169.99,1933
1933   51,1882,3426.74     4,851.81,8278.55,1933
1933   51,1881,3469.71     4,961.6,8431.31,1933
1933   52,1881,3518.02     4,978.47,8496.49,1933
1933   52,1880,3562.13     5,91.12,8653.25,1933
1933   53,1880,3592.72     5,83.03,8675.75,1933
1933   53,1879,3637.77     5,198.05,8835.82,1933
1933   54,1879,3650.86     5,165.49,8816.35,1933
1933   54,1878,3696.64     5,282.38,8979.02,1933
1933   55,1878,3696.34     5,240.28,8936.62,1933
1933   55,1877,3753.18     5,352.43,9105.61,1933
1933   56,1877,3775.93     5,346.07,9122,1933
1933   56,1876,3833.99     5,460.49,9294.48,1933
1933   57,1876,3893.59     5,497.26,9390.85,1933
1933   57,1875,3953.47     5,614.91,9568.38,1933
1933   58,1875,4049.34     5,693.85,9743.19,1933
1933   58,1874,4111.61     5,815.7,9927.31,1933
1933   59,1874,4243.16     5,935.82,10178.98,1933
1933   59,1873,4308.41     6,62.86,10371.27,1933
1933   60,1873,4423.80     6,185.5,10609.3,1933
1933   60,1872,4569.77     6,355.91,10925.68,1933
1933   61,1872,4616.58     6,404.36,11020.94,1933
1933   61,1871,4768.91     6,580.79,11349.7,1933
1933   62,1871,4772.25     6,555.57,11327.82,1933
1933   62,1870,4929.72     6,736.17,11665.89,1933
1933   63,1870,4890.82     6,639.14,11529.96,1933
1933   63,1869,5052.20     6,822.04,11874.24,1933
1933   64,1869,4972.28     6,655.06,11627.34,1933
1933   64,1868,5136.35     6,838.4,11974.75,1933
1933   65,1868,4986.83     6,594.42,11581.25,1933
1933   65,1867,5236.60     6,835.99,12072.59,1933
1933   66,1867,5066.08     6,598.75,11664.83,1933
1933   66,1866,5319.81     6,840.48,12160.29,1933
1933   67,1866,5180.60     6,658.89,11839.49,1933
1933   67,1865,5440.06     6,902.83,12342.89,1933
1933   68,1865,5330.37     6,774.86,12105.23,1933
1933   68,1864,5597.34     7,23.05,12620.39,1933
1933   69,1864,5515.40     6,946.64,12462.04,1933
1933   69,1863,5791.64     7,201.12,12992.76,1933
1933   70,1863,5687.63     7,119.41,12807.04,1933
1933   70,1862,6034.97     7,436.55,13471.52,1933
1933   71,1862,5836.79     7,239.39,13076.18,1933
1933   71,1861,6193.24     7,561.87,13755.11,1933
1933   72,1861,5915.99     7,252.62,13168.61,1933
1933   72,1860,6277.28     7,575.69,13852.97,1933
1933   73,1860,5925.24     7,159.11,13084.35,1933
1933   73,1859,6287.09     7,478.01,13765.1,1933
1933   74,1859,5864.52     6,958.85,12823.37,1933
1933   74,1858,6222.67     7,268.83,13491.5,1933
1933   75,1858,5707.01     6,633.48,12340.49,1933
1933   75,1857,6126.27     6,998.66,13124.93,1933
1933   76,1857,5552.18     6,315.67,11867.85,1933
1933   76,1856,5960.06     6,663.35,12623.41,1933
1933   77,1856,5372.41     5,985.48,11357.89,1933
1933   77,1855,5767.09     6,314.98,12082.07,1933
1933   78,1855,5167.71     5,642.9,10810.61,1933
1933   78,1854,5547.34     5,953.54,11500.88,1933
1933   79,1854,4938.07     5,287.95,10226.02,1933
1933   79,1853,5300.83     5,579.05,10879.88,1933
1933   80,1853,4682.36     4,927.17,9609.53,1933
1933   80,1852,5028.36     5,183.86,10212.22,1933
1933   81,1852,4401.96     4,543.79,8945.75,1933
1933   81,1851,4727.24     4,780.51,9507.75,1933
1933   82,1851,4095.70     4,144.88,8240.58,1933
1933   82,1850,4398.34     4,360.82,8759.16,1933
1933   83,1850,3763.56     3,730.46,7494.02,1933
1933   83,1849,4041.66     3,924.81,7966.47,1933
1933   84,1849,3405.55     3,300.53,6706.08,1933
1933   84,1848,3657.20     3,472.47,7129.67,1933
1933   85,1848,3056.54     2,895.42,5951.96,1933
1933   85,1847,3225.08     2,978.76,6203.84,1933
1933   86,1847,2686.81     2,474.42,5161.23,1933
1933   86,1846,2834.96     2,545.64,5380.6,1933
1933   87,1846,2334.74     2,82.98,4417.72,1933
1933   87,1845,2463.48     2,142.94,4606.42,1933
1933   88,1845,2000.31     1,721.12,3721.43,1933
1933   88,1844,2110.61     1,770.65,3881.26,1933
1933   89,1844,1683.54     1,388.82,3072.36,1933
1933   89,1843,1776.37     1,428.8,3205.17,1933
1933   90,1843,1408.41     1,105.58,2513.99,1933
1933   90,1842,1442.13     1,102.9,2545.03,1933
1933   91,1842,1138.46,843.22,1981.68,1933
1933   91,1841,1165.72,841.18,2006.9,1933
1933   92,1841,902.29,625.96,1528.25,1933
1933   92,1840,923.89,624.45,1548.34,1933
1933   93,1840,699.9,453.81,1153.71,1933
1933   93,1839,716.66,452.71,1169.37,1933
1933   94,1839,531.3,326.74,858.04,1933
1933   94,1838,544.02,325.95,869.97,1933
1933   95,1838,402.9,245.72,648.62,1933
1933   95,1837,396.69,233.45,630.14,1933
1933   96,1837,291.26,177.8,469.06,1933
1933   96,1836,286.77,168.92,455.69,1933
1933   97,1836,205.48,125.92,331.4,1933
1933   97,1835,202.32,119.63,321.95,1933
1933   98,1835,145.57,90.08,235.65,1933
1933   98,1834,143.32,85.58,228.9,1933
1933   99,1834,111.51,70.28,181.79,1933
1933   99,1833,109.79,66.77,176.56,1933
1933  100,1833,120.68,77.55,198.23,1933
1933  100,1832,102.28,65.65,167.93,1933
1933  101,1832,86.35,55.42,141.77,1933
1933  101,1831,72.63,46.64,119.27,1933
1933  102,1831,60.85,39.14,99.99,1933
1933  102,1830,50.79,32.75,83.54,1933
1933  103,1830,42.22,27.32,69.54,1933
1933  103,1829,34.97,22.72,57.69,1933
1933  104,1829,28.84,18.84,47.68,1933
1933  104,1828,23.7,15.58,39.28,1933
1933  105,1828,19.39,12.84,32.23,1933
1933  105,1827,15.8,10.55,26.35,1933
1933  106,1827,12.83,8.64,21.47,1933
1933  106,1826,10.37,7.06,17.43,1933
1933  107,1826,8.35,5.75,14.1,1933
1933  107,1825,6.7,4.66,11.36,1933
1933  108,1825,5.35,3.77,9.12,1933
1933  108,1824,4.26,3.05,7.31,1933
1933  109,1824,3.37,2.45,5.82,1933
1933  109,1823,2.66,1.96,4.62,1933
1933  110+,.,8.42,6.39,14.81,1933
1934    0,1934,42716.77    55,275.2,97991.97,1934
1934    0,1933,13577.75    18,771.7,32349.45,1934
1934 1,1933,5312.04     6,164.93,11476.97,1934
1934 1,1932,4166.98     4,827.45,8994.43,1934
1934 2,1932,2451.86     2,836.01,5287.87,1934
1934 2,1931,2283.15     2,649.17,4932.32,1934
1934 3,1931,1670.69     1,991.11,3661.8,1934
1934 3,1930,1555.73     1,859.93,3415.66,1934
1934 4,1930,1273.62     1,550.02,2823.64,1934
1934 4,1929,1185.98     1,447.9,2633.88,1934
1934 5,1929,1069.23     1,327.89,2397.12,1934
1934 5,1928,1041.30     1,268.02,2309.32,1934
1934 6,1928,975.35     1,219.7,2195.05,1934
1934 6,1927,949.88     1,164.71,2114.59,1934
1934 7,1927,892.30     1,126.2,2018.5,1934
1934 7,1926,869.00     1,75.42,1944.42,1934
1934 8,1926,820.09     1,47.37,1867.46,1934
1934 8,1925,798.67     1,0.15,1798.82,1934
1934 9,1925,758.71,983.23,1741.94,1934
1934 9,1924,738.9,938.9,1677.8,1934
1934 10,1924,690.01,916.11,1606.12,1934
1934 10,1923,715.84,916.73,1632.57,1934
1934 11,1923,675.16,904.35,1579.51,1934
1934 11,1922,700.43,904.96,1605.39,1934
1934 12,1922,694.43,929.16,1623.59,1934
1934 12,1921,720.42,929.79,1650.21,1934
1934   13,1921,747.82,990.55,1738.37,1934
1934   13,1920,775.81,991.22,1767.03,1934
1934   14,1920,835.33     1,88.51,1923.84,1934
1934   14,1919,866.59     1,89.25,1955.84,1934
1934   15,1919,952.21     1,194.85,2147.06,1934
1934   15,1918,985.88     1,238.99,2224.87,1934
1934   16,1918,1073.83     1,324.37,2398.2,1934
1934   16,1917,1111.79     1,373.3,2485.09,1934
1934   17,1917,1195.30     1,451.28,2646.58,1934
1934   17,1916,1237.56     1,504.9,2742.46,1934
1934   18,1916,1316.63     1,575.58,2892.21,1934
1934   18,1915,1363.18     1,633.79,2996.97,1934
1934   19,1915,1437.83     1,697.27,3135.1,1934
1934   19,1914,1488.66     1,759.97,3248.63,1934
1934   20,1914,1578.79     1,889.52,3468.31,1934
1934   20,1913,1586.92     1,801.44,3388.36,1934
1934   21,1913,1680.12     1,983.86,3663.98,1934
1934   21,1912,1688.78     1,891.38,3580.16,1934
1934   22,1912,1759.91     2,48.36,3808.27,1934
1934   22,1911,1768.98     1,952.88,3721.86,1934
1934   23,1911,1818.15     2,83.03,3901.18,1934
1934   23,1910,1827.52     1,985.93,3813.45,1934
1934   24,1910,1854.85     2,87.86,3942.71,1934
1934   24,1909,1864.40     1,990.54,3854.94,1934
1934   25,1909,1878.42     2,88.71,3967.13,1934
1934   25,1908,1876.80     1,955.01,3831.81,1934
1934   26,1908,1888.76     2,77.23,3965.99,1934
1934   26,1907,1887.14     1,944.27,3831.41,1934
1934   27,1907,1894.26     2,79.5,3973.76,1934
1934   27,1906,1892.63     1,946.39,3839.02,1934
1934   28,1906,1894.91     2,95.51,3990.42,1934
1934   28,1905,1893.28     1,961.38,3854.66,1934
1934   29,1905,1890.70     2,125.27,4015.97,1934
1934   29,1904,1889.08     1,989.23,3878.31,1934
1934   30,1904,1887.24     2,148.15,4035.39,1934
1934   30,1903,1881.85     2,51.3,3933.15,1934
1934   31,1903,1895.61     2,207.14,4102.75,1934
1934   31,1902,1890.19     2,107.63,3997.82,1934
1934   32,1902,1921.39     2,282.03,4203.42,1934
1934   32,1901,1915.90     2,179.15,4095.05,1934
1934   33,1901,1964.60     2,372.84,4337.44,1934
1934   33,1900,1958.99     2,265.85,4224.84,1934
1934   34,1900,2025.24     2,479.55,4504.79,1934
1934   34,1899,2019.45     2,367.75,4387.2,1934
1934   35,1899,2086.84     2,551.47,4638.31,1934
1934   35,1898,2106.84     2,531.84,4638.68,1934
1934   36,1898,2161.14     2,676.26,4837.4,1934
1934   36,1897,2181.85     2,655.66,4837.51,1934
1934   37,1897,2232.16     2,805.51,5037.67,1934
1934   37,1896,2253.56     2,783.92,5037.48,1934
1934   38,1896,2299.91     2,939.23,5239.14,1934
1934   38,1895,2321.95     2,916.61,5238.56,1934
1934   39,1895,2364.38     3,77.41,5441.79,1934
1934   39,1894,2387.04     3,53.73,5440.77,1934
1934   40,1894,2427.85     3,187.42,5615.27,1934
1934   40,1893,2449.16     3,229.37,5678.53,1934
1934   41,1893,2493.61     3,337.37,5830.98,1934
1934   41,1892,2515.50     3,381.29,5896.79,1934
1934   42,1892,2563.92     3,496.08,6060,1934
1934   42,1891,2586.42     3,542.09,6128.51,1934
1934   43,1891,2638.76     3,663.57,6302.33,1934
1934   43,1890,2661.92     3,711.78,6373.7,1934
1934   44,1890,2718.14     3,839.83,6557.97,1934
1934   44,1889,2742.00     3,890.36,6632.36,1934
1934   45,1889,2803.32     3,999.48,6802.8,1934
1934   45,1888,2829.06     4,102.68,6931.74,1934
1934   46,1888,2902.69     4,190.5,7093.19,1934
1934   46,1887,2929.34     4,298.63,7227.97,1934
1934   47,1887,3017.53     4,388.67,7406.2,1934
1934   47,1886,3045.23     4,501.91,7547.14,1934
1934   48,1886,3147.84     4,593.98,7741.82,1934
1934   48,1885,3176.74     4,712.52,7889.26,1934
1934   49,1885,3293.61     4,806.44,8100.05,1934
1934   49,1884,3323.85     4,930.46,8254.31,1934
1934   50,1884,3438.28     5,21.26,8459.54,1934
1934   50,1883,3487.94     5,144.65,8632.59,1934
1934   51,1883,3569.24     5,201.14,8770.38,1934
1934   51,1882,3620.79     5,328.95,8949.74,1934
1934   52,1882,3670.35     5,341.15,9011.5,1934
1934   52,1881,3723.35     5,472.4,9195.75,1934
1934   53,1881,3741.59     5,441.3,9182.89,1934
1934   53,1880,3795.63     5,575.01,9370.64,1934
1934   54,1880,3782.98     5,501.59,9284.57,1934
1934   54,1879,3837.62     5,636.77,9474.39,1934
1934   55,1879,3802.36     5,540.99,9343.35,1934
1934   55,1878,3868.09     5,670.34,9538.43,1934
1934   56,1878,3863.23     5,615.31,9478.54,1934
1934   56,1877,3930.02     5,746.39,9676.41,1934
1934   57,1877,3973.46     5,743.52,9716.98,1934
1934   57,1876,4042.15     5,877.6,9919.75,1934
1934   58,1876,4133.05     5,925.62,10058.67,1934
1934   58,1875,4204.49     6,63.94,10268.43,1934
1934   59,1875,4341.99     6,161.6,10503.59,1934
1934   59,1874,4417.05     6,305.43,10722.48,1934
1934   60,1874,4545.40     6,413.14,10958.54,1934
1934   60,1873,4704.21     6,602.35,11306.56,1934
1934   61,1873,4760.49     6,643.35,11403.84,1934
1934   61,1872,4926.82     6,839.35,11766.17,1934
1934   62,1872,4934.63     6,814.79,11749.42,1934
1934   62,1871,5107.04     7,15.85,12122.89,1934
1934   63,1871,5067.81     6,927.44,11995.25,1934
1934   63,1870,5244.88     7,131.83,12376.71,1934
1934   64,1870,5160.04     6,981.32,12141.36,1934
1934   64,1869,5340.32     7,187.29,12527.61,1934
1934   65,1869,5179.68     6,959.86,12139.54,1934
1934   65,1868,5449.33     7,228.55,12677.88,1934
1934   66,1868,5261.08     6,983.99,12245.07,1934
1934   66,1867,5534.97     7,253.61,12788.58,1934
1934   67,1867,5373.05     7,37.12,12410.17,1934
1934   67,1866,5652.76     7,308.79,12961.55,1934
1934   68,1866,5515.57     7,119.26,12634.83,1934
1934   68,1865,5802.71     7,394.11,13196.82,1934
1934   69,1865,5688.66     7,230.41,12919.07,1934
1934   69,1864,5984.80     7,509.54,13494.34,1934
1934   70,1864,5845.86     7,326.26,13172.12,1934
1934   70,1863,6214.54     7,667.17,13881.71,1934
1934   71,1863,5988.79     7,400.22,13389.01,1934
1934   71,1862,6366.49     7,744.57,14111.06,1934
1934   72,1862,6072.10     7,408.54,13480.64,1934
1934   72,1861,6455.04     7,753.28,14208.32,1934
1934   73,1861,6095.77     7,351.21,13446.98,1934
1934   73,1860,6480.20     7,693.28,14173.48,1934
1934   74,1860,6059.81     7,228.23,13288.04,1934
1934   74,1859,6441.98     7,564.58,14006.56,1934
1934   75,1859,5932.58     7,5.12,12937.7,1934
1934   75,1858,6380.39     7,404.81,13785.2,1934
1934   76,1858,5802.55     6,761.33,12563.88,1934
1934   76,1857,6240.54     7,147.11,13387.65,1934
1934   77,1857,5637.51     6,461.42,12098.93,1934
1934   77,1856,6063.05     6,830.09,12893.14,1934
1934   78,1856,5437.46     6,105.37,11542.83,1934
1934   78,1855,5847.90     6,453.73,12301.63,1934
1934   79,1855,5202.40     5,693.2,10895.6,1934
1934   79,1854,5595.10     6,18.04,11613.14,1934
1934   80,1854,4932.28     5,242.16,10174.44,1934
1934   80,1853,5306.71     5,525.76,10832.47,1934
1934   81,1853,4633.10     4,775.41,9408.51,1934
1934   81,1852,4984.82     5,33.76,10018.58,1934
1934   82,1852,4304.76     4,310.9,8615.66,1934
1934   82,1851,4631.56     4,544.11,9175.67,1934
1934   83,1851,3947.26     3,848.61,7795.87,1934
1934   83,1850,4246.92     4,56.82,8303.74,1934
1934   84,1850,3560.60     3,388.56,6949.16,1934
1934   84,1849,3830.90     3,571.87,7402.77,1934
1934   85,1849,3182.36     2,969.53,6151.89,1934
1934   85,1848,3364.15     3,60.81,6424.96,1934
1934   86,1848,2786.51     2,539.22,5325.73,1934
1934   86,1847,2945.69     2,617.27,5562.96,1934
1934   87,1847,2414.44     2,141.69,4556.13,1934
1934   87,1846,2552.36     2,207.52,4759.88,1934
1934   88,1846,2066.13     1,776.94,3843.07,1934
1934   88,1845,2184.16     1,831.56,4015.72,1934
1934   89,1845,1741.61     1,444.97,3186.58,1934
1934   89,1844,1841.09     1,489.39,3330.48,1934
1934   90,1844,1464.41     1,165.03,2629.44,1934
1934   90,1843,1502.29     1,164.42,2666.71,1934
1934   91,1843,1191.1,902.45,2093.55,1934
1934   91,1842,1221.91,901.97,2123.88,1934
1934   92,1842,949.87,681.15,1631.02,1934
1934   92,1841,974.44,680.79,1655.23,1934
1934   93,1841,740.72,501.14,1241.86,1934
1934   93,1840,759.88,500.88,1260.76,1934
1934   94,1840,563.66,362.41,926.07,1934
1934   94,1839,578.24,362.22,940.46,1934
1934   95,1839,426.27,267.68,693.95,1934
1934   95,1838,420.49,254.79,675.28,1934
1934   96,1838,306.8,187.61,494.41,1934
1934   96,1837,302.64,178.57,481.21,1934
1934   97,1837,215.72,127.28,343,1934
1934   97,1836,212.8,121.15,333.95,1934
1934   98,1836,153.03,86.7,239.73,1934
1934   98,1835,150.96,82.53,233.49,1934
1934   99,1835,118.73,65.87,184.6,1934
1934   99,1834,117.12,62.7,179.82,1934
1934  100,1834,126.31,80.72,207.03,1934
1934  100,1833,113.82,67.63,181.45,1934
1934  101,1833,96.56,56.78,153.34,1934
1934  101,1832,81.63,47.51,129.14,1934
1934  102,1832,68.75,39.63,108.38,1934
1934  102,1831,57.7,32.95,90.65,1934
1934  103,1831,48.24,27.3,75.54,1934
1934  103,1830,40.19,22.55,62.74,1934
1934  104,1830,33.35,18.57,51.92,1934
1934  104,1829,27.58,15.23,42.81,1934
1934  105,1829,22.72,12.46,35.18,1934
1934  105,1828,18.64,10.16,28.8,1934
1934  106,1828,15.24,8.25,23.49,1934
1934  106,1827,12.41,6.68,19.09,1934
1934  107,1827,10.07,5.39,15.46,1934
1934  107,1826,8.14,4.34,12.48,1934
1934  108,1826,6.55,3.48,10.03,1934
1934  108,1825,5.25,2.78,8.03,1934
1934  109,1825,4.2,2.21,6.41,1934
1934  109,1824,3.34,1.75,5.09,1934
1934  110+,.,11.18,5.26,16.44,1934
1935    0,1935,38960.71    51,309.88,90270.59,1935
1935    0,1934,12411.89    17,568.44,29980.33,1935
1935 1,1934,4377.96     5,100.22,9478.18,1935
1935 1,1933,3358.01     3,910.37,7268.38,1935
1935 2,1933,1983.31     2,421.37,4404.68,1935
1935 2,1932,1838.64     2,255.6,4094.24,1935
1935 3,1932,1503.97     1,780.27,3284.24,1935
1935 3,1931,1394.26     1,658.39,3052.65,1935
1935 4,1931,1305.59     1,420.07,2725.66,1935
1935 4,1930,1210.35     1,322.85,2533.2,1935
1935 5,1930,1100.19     1,242,2342.19,1935
1935 5,1929,1066.71     1,182.73,2249.44,1935
1935 6,1929,965.86     1,159.57,2125.43,1935
1935 6,1928,936.46     1,104.23,2040.69,1935
1935 7,1928,857.32     1,88.92,1946.24,1935
1935 7,1927,831.22     1,36.96,1868.18,1935
1935 8,1927,774.57     1,30.06,1804.63,1935
1935 8,1926,750.99,980.9,1731.89,1935
1935 9,1926,717.61,982.99,1700.6,1935
1935 9,1925,695.77,936.08,1631.85,1935
1935 10,1925,665.96,929.56,1595.52,1935
1935 10,1924,687.82,927.62,1615.44,1935
1935 11,1924,666.01,927.65,1593.66,1935
1935 11,1923,687.87,925.72,1613.59,1935
1935 12,1923,696.3,958.32,1654.62,1935
1935 12,1922,719.16,956.32,1675.48,1935
1935   13,1922,756.84     1,21.55,1778.39,1935
1935   13,1921,781.68     1,19.42,1801.1,1935
1935   14,1921,847.62     1,117.35,1964.97,1935
1935   14,1920,875.44     1,115.02,1990.46,1935
1935   15,1920,964.11     1,217.48,2181.59,1935
1935   15,1919,993.77     1,258.98,2252.75,1935
1935   16,1919,1082.47     1,338.99,2421.46,1935
1935   16,1918,1115.77     1,384.63,2500.4,1935
1935   17,1918,1198.04     1,455.92,2653.96,1935
1935   17,1917,1234.89     1,505.54,2740.43,1935
1935   18,1917,1310.82     1,568.27,2879.09,1935
1935   18,1916,1351.14     1,621.72,2972.86,1935
1935   19,1916,1420.82     1,676.03,3096.85,1935
1935   19,1915,1464.52     1,733.16,3197.68,1935
1935   20,1915,1548.87     1,852.76,3401.63,1935
1935   20,1914,1549.95     1,761.52,3311.47,1935
1935   21,1914,1642.17     1,940.81,3582.98,1935
1935   21,1913,1643.31     1,845.23,3488.54,1935
1935   22,1913,1719.94     2,9.31,3729.25,1935
1935   22,1912,1721.14     1,910.36,3631.5,1935
1935   23,1912,1782.20     2,58.26,3840.46,1935
1935   23,1911,1783.44     1,956.9,3740.34,1935
1935   24,1911,1828.93     2,87.66,3916.59,1935
1935   24,1910,1830.20     1,984.85,3815.05,1935
1935   25,1910,1866.65     2,119.47,3986.12,1935
1935   25,1909,1856.77     1,978.32,3835.09,1935
1935   26,1909,1887.93     2,128.45,4016.38,1935
1935   26,1908,1877.94     1,986.71,3864.65,1935
1935   27,1908,1899.18     2,136.47,4035.65,1935
1935   27,1907,1889.13     1,994.19,3883.32,1935
1935   28,1907,1900.40     2,143.52,4043.92,1935
1935   28,1906,1890.34     2,0.78,3891.12,1935
1935   29,1906,1891.59     2,149.61,4041.2,1935
1935   29,1905,1881.58     2,6.46,3888.04,1935
1935   30,1905,1880.11     2,139.29,4019.4,1935
1935   30,1904,1866.43     2,37.2,3903.63,1935
1935   31,1904,1884.14     2,175.67,4059.81,1935
1935   31,1903,1870.42     2,71.84,3942.26,1935
1935   32,1903,1911.04     2,243.34,4154.38,1935
1935   32,1902,1897.13     2,136.29,4033.42,1935
1935   33,1902,1960.83     2,342.31,4303.14,1935
1935   33,1901,1946.56     2,230.53,4177.09,1935
1935   34,1901,2033.49     2,472.58,4506.07,1935
1935   34,1900,2018.69     2,354.59,4373.28,1935
1935   35,1900,2110.22     2,578.33,4688.55,1935
1935   35,1899,2121.00     2,551.43,4672.43,1935
1935   36,1899,2193.94     2,728.91,4922.85,1935
1935   36,1898,2205.14     2,700.44,4905.58,1935
1935   37,1898,2266.42     2,871.53,5137.95,1935
1935   37,1897,2277.99     2,841.57,5119.56,1935
1935   38,1897,2327.66     3,6.19,5333.85,1935
1935   38,1896,2339.55     2,974.83,5314.38,1935
1935   39,1896,2377.67     3,132.89,5510.56,1935
1935   39,1895,2389.82     3,100.2,5490.02,1935
1935   40,1895,2421.85     3,222.12,5643.97,1935
1935   40,1894,2432.27     3,255.52,5687.79,1935
1935   41,1894,2476.00     3,356.55,5832.55,1935
1935   41,1893,2486.65     3,391.34,5877.99,1935
1935   42,1893,2545.51     3,507.89,6053.4,1935
1935   42,1892,2556.46     3,544.25,6100.71,1935
1935   43,1892,2630.38     3,676.14,6306.52,1935
1935   43,1891,2641.70     3,714.25,6355.95,1935
1935   44,1891,2730.61     3,861.31,6591.92,1935
1935   44,1890,2742.36     3,901.33,6643.69,1935
1935   45,1890,2843.27     4,34.67,6877.94,1935
